internalTaxonId,suborder,family,genus,species_name,species_iucn,species_tree,species_phylacine,authority,risk,yearPublished,assessmentDate,population_trend,hemisphere,realm,continent,cave_use,roost_pref,hib_study,WNS,detected,WNS_declining,Pd_load_ug_cm2,Pd_load_ng_mm2_forearm_length,log10_Pd_load,lesion.count_cm2,source,links,,,
137,Yinpterochiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,Acerodon_celebensis,Acerodon_celebensis,"Peters, 1867",Vulnerable,2016,2016-01-08 00:00:00 UTC,Decreasing,Southern,Australasian,Asia,no,,,,,,,,,,Mendes 2011; Jones et al. 2009; Smith et al. 2003,,,,
138,Yinpterochiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,,Acerodon_humilis,"K. Andersen, 1909",Endangered,2016,2015-06-20 00:00:00 UTC,Decreasing,Southern,Australasian,Asia,no,,,,,,,,,,,,,,
139,Yinpterochiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,Acerodon_jubatus,Acerodon_jubatus,"(Eschscholtz, 1831)",Endangered,2016,2016-04-05 00:00:00 UTC,Decreasing,Northern,Indomalayan,Asia,no,,,,,,,,,,Fleming and Racey 1992; Mendes 2011; Jones et al. 2009; Smith et al. 2003; Mudar & Allen 1866,,,,
140,Yinpterochiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,,Acerodon_leucotis,"(Sanborn, 1950)",Vulnerable,2020,2019-04-23 00:00:00 UTC,Decreasing,Northern,Indomalayan,Asia,no,,,,,,,,,,,,,,
142,Yinpterochiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,,Acerodon_mackloti,"(Temminck, 1837)",Vulnerable,2016,2015-04-20 00:00:00 UTC,Decreasing,Southern,Australasian,Asia,no,,,,,,,,,,,,,,
136541,Yinpterochiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,,Aethalops_aequalis,"G.M. Allen, 1938",Least Concern,2016,2015-12-16 00:00:00 UTC,Unknown,Northern/Southern,Indomalayan,Asia,yes,broad,,,,,,,,,Benda 2010,,,,
565,Yinpterochiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,Aethalops_alecto,Aethalops_alecto,"(Thomas, 1923)",Least Concern,2016,2016-06-27 00:00:00 UTC,Unknown,Northern/Southern,Indomalayan,Asia,no,,,,,,,,,,Mendes 2011; Jones et al. 2009; Smith et al. 2003,,,,
843,Yinpterochiroptera,Pteropodidae,Alionycteris,paucidentata,Alionycteris paucidentata,Alionycteris_paucidentata,Alionycteris_paucidentata,"Kock, 1969",Least Concern,2016,2015-04-20 00:00:00 UTC,Stable,Northern,Indomalayan,Asia,no,,,,,,,,,,Fleming and Racey 1992; Mendes 2011; Jones et al. 2009; Smith et al. 2003   ,,,,
1137,Yangochiroptera,Phyllostomidae,Ametrida,centurio,Ametrida centurio,Ametrida_centurio,Ametrida_centurio,"Gray, 1847",Least Concern,2016,2016-07-02 00:00:00 UTC,Unknown,Northern/Southern,Neotropical,South America,no,,,,,,,,,,"Bobrowiec and Gribel 2010; dos Reis et al. 2007; Goodwin and Greenhall 1964; Mendes 2011; Jones et al., 2009; Smith et al. 2003; Ocampo et al. 2020",https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
1154,Yangochiroptera,Furipteridae,Amorphochilus,schnablii,Amorphochilus schnablii,,Amorphochilus_schnablii,"Peters, 1877",Vulnerable,2015,2014-07-14 00:00:00 UTC,Stable,Southern,Neotropical,South America,yes,caves,,,,,,,,,Faurby et al. 2018,,,,
88109381,Yangochiroptera,Phyllostomidae,Anoura,aequatoris,Anoura aequatoris,,,"(Lönnberg, 1921)",Least Concern,2019,2019-02-07 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,no,,,,,,,,,,Ocampo et al (2020),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
88109476,Yangochiroptera,Phyllostomidae,Anoura,cadenai,Anoura cadenai,,,"Mantilla-Meluk &amp; Baker, 2006",Data Deficient,2017,2016-10-28 00:00:00 UTC,Unknown,Northern,Neotropical,South America,no,,,,,,,,,,Calderon-Acevedo  & Muchhala,,,,
88108473,Yangochiroptera,Phyllostomidae,Anoura,caudifer,Anoura caudifer,Anoura_caudifer,Anoura_caudifer,"(É. Geoffroy Saint-Hilaire, 1818)",Least Concern,2016,2016-03-17 00:00:00 UTC,Unknown,Northern/Southern,Neotropical,South America,yes,caves,,,,,,,,,"Aguirre 2007; B<87>rquez et al. 1993; Cruz-Neto et al. 2001; dos Reis et al. 2007; Mendes 2011; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003; Calderon-Acevedo  & Muchhala; Ocampo et al. 2020",https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
1566,Yangochiroptera,Phyllostomidae,Anoura,cultrata,Anoura cultrata,Anoura_cultrata,Anoura_cultrata,"Handley, 1960",Least Concern,2016,2016-05-23 00:00:00 UTC,Decreasing,Northern/Southern,Neotropical,South America,yes,caves,,,,,,,,,Ocampo et al (2020),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
136239,Yangochiroptera,Phyllostomidae,Anoura,fistulata,Anoura fistulata,,Anoura_fistulata,"Muchhala, Mena-Valenzuela &amp; Albuja, 2005",Data Deficient,2018,2017-10-03 00:00:00 UTC,Unknown,Southern,Neotropical,South America,yes,caves,,,,,,,,,"Calderon-Acevedo  & Muchhala, Ocampo et al (2020)",https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
88109511,Yangochiroptera,Phyllostomidae,Anoura,geoffroyi,Anoura geoffroyi,Anoura_geoffroyi,Anoura_geoffroyi,"Gray, 1838",Least Concern,2016,2016-03-16 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,yes,caves,,,,,,,,,"Aguirre 2007; dos Reis et al. 2007; Hosken et al. 2002; Magalha_s and Costa 2009; Mendes 2011; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003; Ocampo et al. 2020; Audet and Thomas (1997), Avila-Flores and Medell<ed>n (2004), Stawski et al. (2014)",https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3273#support-information-section,,,
1568,Yangochiroptera,Phyllostomidae,Anoura,latidens,Anoura latidens,Anoura_latidens,Anoura_latidens,"Handley, 1984",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,yes,caves,,,,,,,,,Faurby et al. 2018,,,,
1569,Yangochiroptera,Phyllostomidae,Anoura,luismanueli,Anoura luismanueli,,Anoura_luismanueli,"Molinari, 1994",Least Concern,2018,2018-02-19 00:00:00 UTC,Stable,Northern,Neotropical,South America,yes,caves,,,,,,,,,Molinari 1994,,,,
88109497,Yangochiroptera,Phyllostomidae,Anoura,peruana,Anoura peruana,,,"(Tschudi, 1844)",Least Concern,2019,2019-02-07 00:00:00 UTC,Stable,Southern,Neotropical,South America,yes,broad,,,,,,,,,Faurby et al. 2018,,,,
1620,Yinpterochiroptera,Hipposideridae,Anthops,ornatus,Anthops ornatus,,Anthops_ornatus,"Thomas, 1888",Vulnerable,2020,2019-07-29 00:00:00 UTC,Decreasing,Southern,Australasian,Oceania,no,,,,,,,,,,,,,,
1790,Yangochiroptera,Vespertilionidae,Antrozous,pallidus,Antrozous pallidus,Antrozous_pallidus,Antrozous_pallidus,"(Le Conte, 1856)",Least Concern,2017,2016-08-26 00:00:00 UTC,Stable,Northern,Nearctic|Neotropical,North America,yes,caves,,negative,no,,,,,,"Geiser and Baudinette 1990; Harvey et al. 2011; Magalha_s and Costa 2009; Jones et al., 2009; Smith et al. 2003; Swartz et al. 2003; Zukal et al. 2014; Rambaldini & brigham 2008",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097224#s2,,,
1933,Yinpterochiroptera,Pteropodidae,Aproteles,bulmerae,Aproteles bulmerae,,Aproteles_bulmerae,"Menzies, 1977",Critically Endangered,2021,2016-01-31 00:00:00 UTC,Decreasing,Southern,Australasian,Oceania,yes,broad,,,,,,,,,Bonaccorso 1998; Mendes 2011; Jones et al. 2009; Smith et al. 2003   ,,,,
2089,Yangochiroptera,Phyllostomidae,Ardops,nichollsi,Ardops nichollsi,Ardops_nichollsi,Ardops_nichollsi,"(Thomas, 1891)",Least Concern,2019,2016-07-08 00:00:00 UTC,Unknown,Northern,Neotropical,South America,no,,,,,,,,,,"Hosken et al. 2002; Mendes 2011; Jones et al., 2009; Smith et al. 2003   ",,,,
41534,Yangochiroptera,Vespertilionidae,Arielulus,circumdatus,Arielulus circumdatus,Arielulus_circumdatus,Arielulus_circumdatus,"(Temminck, 1840)",Least Concern,2019,2018-08-31 00:00:00 UTC,Unknown,Northern,Indomalayan,Asia,no,,,,,,,,,,,,,,
40775,Yangochiroptera,Vespertilionidae,Arielulus,cuprosus,Arielulus cuprosus,,Arielulus_cuprosus,"(Hill &amp; Francis, 1984)",Vulnerable,2016,2014-12-10 00:00:00 UTC,Unknown,Northern,Indomalayan,Asia,no,,,,,,,,,,"Jones et al., 2009*",,,,
40776,Yangochiroptera,Vespertilionidae,Arielulus,societatis,Arielulus societatis,,Arielulus_societatis,"(Hill, 1972)",Least Concern,2020,2020-09-30 00:00:00 UTC,Decreasing,Northern/Southern,Indomalayan,Asia,no,,,,,,,,,,,,,,
40032,Yangochiroptera,Vespertilionidae,Arielulus,torquatus,Arielulus torquatus,,Arielulus_torquatus,"Csorba &amp; Lee, 1999",Least Concern,2019,2018-09-01 00:00:00 UTC,Stable,Northern,Palearctic,Asia,yes,caves,,,,,,,,,Faurby et al. 2018,,,,
2110,Yangochiroptera,Phyllostomidae,Ariteus,flavescens,Ariteus flavescens,Ariteus_flavescens,Ariteus_flavescens,"(Gray, 1831)",Least Concern,2019,2016-07-08 00:00:00 UTC,Unknown,Northern,Neotropical,North America,no,,,,,,,,,,Genoways et al. 2005; Howe 1974; Mendes 2011,,,,
88109970,Yangochiroptera,Phyllostomidae,Artibeus,aequatorialis,Artibeus aequatorialis,,,"Andersen, 1906",Least Concern,2019,2016-07-11 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,no,,,,,,,,,,,,,,
2121,Yangochiroptera,Phyllostomidae,Artibeus,amplus,Artibeus amplus,Artibeus_amplus,Artibeus_amplus,"Handley, 1987",Least Concern,2018,2018-02-20 00:00:00 UTC,Unknown,Northern,Neotropical,South America,yes,caves,,,,,,,,,"Mendes 2011; Jones et al., 2009; Smith et al. 2003",,,,
2125,Yangochiroptera,Phyllostomidae,Artibeus,concolor,Artibeus concolor,Artibeus_concolor,Artibeus_concolor,"Peters, 1865",Least Concern,2016,2016-07-04 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,no,,,,,,,,,,,,,,
2126,Yangochiroptera,Phyllostomidae,Artibeus,fimbriatus,Artibeus fimbriatus,Artibeus_fimbriatus,Artibeus_fimbriatus,"Gray, 1838",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Southern,Neotropical,South America,yes,caves,,,,,,,,,"B<87>rquez et al. 1993; Cruz-Neto et al. 2001; dos Reis et al. 2007; Mendes 2011; Jones et al., 2009; Smith et al. 2003   ",,,,
2127,Yangochiroptera,Phyllostomidae,Artibeus,fraterculus,Artibeus fraterculus,Artibeus_fraterculus,Artibeus_fraterculus,"Anthony, 1924",Least Concern,2015,2015-07-20 00:00:00 UTC,Decreasing,Southern,Neotropical,South America,yes,broad,,,,,,,,,"Jones et al., 2009*",,,,
2131,Yangochiroptera,Phyllostomidae,Artibeus,hirsutus,Artibeus hirsutus,Artibeus_hirsutus,Artibeus_hirsutus,"K. Andersen, 1906",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Mendes 2011; Jones et al., 2009; Smith et al. 2003; Webster and Jones 1983   ",,,,
2132,Yangochiroptera,Phyllostomidae,Artibeus,inopinatus,Artibeus inopinatus,Artibeus_inopinatus,Artibeus_inopinatus,"Davis &amp; Carter, 1964",Data Deficient,2016,2016-06-29 00:00:00 UTC,Unknown,Northern,Neotropical,North America,no,,,,,,,,,,Webster and Jones 1983,,,,
88109731,Yangochiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,Artibeus_jamaicensis,Artibeus_jamaicensis,"Leach, 1821",Least Concern,2016,2016-07-02 00:00:00 UTC,Stable,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Harvey et al. 2011; Lawlor 1973; Magalha_s and Costa 2009; Mancina et al. 2004; Norberg 1981; Jones et al., 2009; Ratcliffe 2009; Silva Taboada 1979; Smith et al. 2003; Swartz et al. 2003; Harvey et al. 2011",,,,
2136,Yangochiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,Artibeus_lituratus,Artibeus_lituratus,"(Olfers, 1818)",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern/Southern,Neotropical,North America/South America,yes,broad,,,,,,,,,"Aguirre 2007; Arias 2008; B<87>rquez et al. 1993; Bobrowiec and Gribel 2010; dos Reis et al. 2007; Magalha_s and Costa 2009; Norberg 1981; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003; Swartz et al. 2003; Morrison, 1980; Oprea, et al., 2007",,,,
2137,Yangochiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,Artibeus_obscurus,Artibeus_obscurus,"Schinz, 1821",Least Concern,2016,2016-07-04 00:00:00 UTC,Unknown,Northern/Southern,Neotropical,South America,yes,broad,,,,,,,,,"Aguirre 2007; Arias 2008; Bobrowiec and Gribel 2010; dos Reis et al. 2007; Mendes 2011; Jones et al., 2009; Smith et al. 2003",,,,
2139,Yangochiroptera,Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,Artibeus_planirostris,Artibeus_planirostris,"(Spix, 1823)",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,yes,broad,,,,,,,,,Arias 2008; Beguelini et al. 2013; Bobrowiec and Gribel 2010; Lim et al. 2005   ,,,,
